detail_key,link,title,author
r116,https://www.readawrite.com/a/Z1qqys,"| Genshin impact | Luckae , Tartali",mychan
r334,https://www.readawrite.com/a/Z4v1wu,'เอาไงดี?' Tartali 💧🔶,mychan
r437,https://www.readawrite.com/a/Z5jf82,เอาใหม่ |TomaGorou,mychan
r20437,https://www.readawrite.com/a/Zil2iv,Only You เพียงหนึ่งดาว | mychan,ᴍᴏᴍᴍᴀᴍ (มอมแมม)
r20927,https://www.readawrite.com/a/Zio5x0,404 || mychan,Jee gee kee lee sa sa le le
r20951,https://www.readawrite.com/a/Zioauv,ใครเพื่อนแก(อยากเป็นแฟนโว้ย)-mychan-,🐶mychan🦊
