detail_key,article_id,title,author
r13315,Zgoodg,"Her Melody, My Lens: The Start of Us - GinJay",zyrelle
r13327,Zgot7c,The Sweetest Annoyance - GinJay,zyrelle
r13329,Zgotmf,Heart Up ! สู้เค้าค่ะ..ที่รัก,ErythroRain
r13331,Zgovh7,Color of Heart #GinJay #JayGin,Nekokun
r13346,Zgoy9n,A Twist of Fate: Love in Bloom - JayGin,zyrelle
r13371,Zgp8rk,จะจีบละนะ | GinJ,เลือดน้ำเงิน
r13376,Zgpb44,คนเก่าคนโปรด | Ginj,Befirst
r13388,Zgpfaq,ก๋วยเตี๋ยวชามเดียว | #Jgin,jenstar
r13406,Zgple7,หนึ่งฟากฟ้า ร้อยดาวพนา - JayGin,zyrelle
r13444,Zgpyja,หม่อมหลวงเมธาวี,ม่อนโซคิ้ว
r13455,Zgq2kn,The Polaris & The Winter Moo - JayGin,Tamm
r13466,Zgq5al,The Polaris & The Winter Moon - JayGin,zyrelle
r13486,Zgqbig,1song & 1shot | GinJay,KGJ.-.
r13504,Zgql8j,จินนี่ x เจนน่า : กลิ่นรักในร้านคุกกี้,YUMI_PM
r13525,Zgqsad,เพียงพิ้งค์มีรัก #Jgin,เป็นหมา
r13547,Zgr354,The Dean's Darling & The New Professor - JayGin,zyrelle
r13549,Zgr43i,On and Off|Ginj,Jenniferlovex
r13562,Zgr70n,Title: The Cold Heiress and Her Debt - GinJay,zyrelle
r13574,Zgr9u5,Title: “Trace of You” - JayGin,zyrelle
r13600,Zgrk6f,¹คุณรดา - JGin,shadow 🐾
r13606,Zgrn90,"ลองรักแล้วจะติด-JGin,Ginj",paphawrin_.2555
r13720,Zgsrtc,Sleeping pill | JGin,มะหมาจ๋อง
r13743,Zgt1is,เฌอหยุดดิ | Ginjay Jaygin,blu-butter
r13756,Zgt901,เพียงรักคนโปรด | GinJayGin,Soleste
r13759,Zgtac5,ตื้อเท่านั้นที่ครองโลกGinJay,11 เมษา
r13831,Zgu4o2,Whispers in the Amber Light - JayGin,zyrelle
r13864,Zguef0,เวนิส,Nut Chil
r13869,Zgufa4,ฟรังฝันถึงเธอ #Jgin,เป็นหมา
r13875,Zgukef,Perfect—JGIN,ไอหรั่ง
r13902,Zguubq,#บี๋อย่าเดี๋ยวยอม / GinJay JayGin,มัมหมีจอจอ
r13931,Zgvbbu,Hidden Fangs|JayGin,ฮ้อบมั้ยคุณพรี่
r13977,Zgvx8m,แสงสว่างในเงาตา : / JayGin,zyrelle
r13982,Zgvyn2,แพ้แฟนเก่า | JayGin,maeodam
r13984,Zgw0fg,ลัลลดา | jgin ginj,S.ch
r14003,Zgw9rd,Shut up !,orene
r14024,Zgwg55,ณัชชารินทร์ #JGin | Special Christmas,มะหมาจ๋อง
r14029,Zgwhjp,#คุณพริมคะ - Ginjay,period0
r14034,Zgwivl,ในวันที่เราต่างเติบโต : / JayGin,zyrelle
r14087,Zgx5u1,อาคมพรางใจ / : GinJay,zyrelle
r14105,Zgxbg7,วาเลนไทน์ #Jgin,เป็นหมา
r14106,Zgxbhn,จงรักจงเกลียด|Jgin,ดาวเสาร์ของวาฬ
r14138,Zgxoi9,รักแรกไม่เคยจบ|JGin,T. Neve
r14154,Zgxsex,ราชินีมาเฟียในเงามืด,พัชรพา ใจบุญ
r14166,Zgxvse,กัญวราภรณ์ของพี่วี /: JayGin,zyrelle
r14189,Zgy7ex,อ้อนรักยัยแมวเจ้าเล่ห์ /: GinJay,zyrelle
r14194,Zgyal8,คุณหมอคนสวย | GinJay,WhateVerse
r14258,Zgytro,ได้เป็นน้องรหัสของคนที่แอบชอบ |Ginj,Luckyfirst
r14266,Zgyx2m,เหนือแสงรัญจวน // JayGin,zyrelle
r14272,Zgyypr,คุณณิชา #JGin,Is'real
r14276,Zh00ux,ภรรยาจำเป็น | GinJay,เจ้าปลาวาฬน้อย 🐳
r14288,Zh04u2,เลขาคนนั้นที่ฉันฝันถึง,สีชาต
r14309,Zh0ckt,เพียงขวัญอิงใจ | Jgin,ลิงจั๊กๆ
r14340,Zh0m89,เราเรื่องเรา,7dem
r14383,Zh12dl,พราวฟ้าเคียงแสง//: GinJay,zyrelle
r14392,Zh16w8,เมื่อจิตรกรตกหลุมรักคุณแม่เลี้ยงเดี่ยว //: GinJay,zyrelle
r14430,Zh1naa,ตัวแม่จะแคร์(เบลล์) | jgin,เจ้าฟอร์ด
r14434,Zh1oo8,ข้อตกลงระหว่างเรา | GinJay,WhateVerse
r14454,Zh1wme,รอยตราอัครเดชโภคิน //: JayGin,zyrelle
r14463,Zh21fa,คุณเฟิร์นทำไมดุจัง | GinJay / JayGin,LC
r14467,Zh23dc,#ภีมใจริตา | Jgin,หมาขาว
r14475,Zh2768,คุณเลนวาเลนไทน์ #Jgin,เป็นหมา
r14488,Zh2cfv,เพียงขวัญ|JGin,ไอหรั่ง
r14493,Zh2d6t,เราไม่เคยเป็นอะไรกัน | GinJay,ยาพิษ🩸
r14501,Zh2hgu,รอยฝันสัญญา — Ginjay Jaygin,หยุดยิ้มไม่ได้ ◡̈
r14502,Zh2hhe,First Night | GinJay,WhateVerse
r14511,Zh2kxs,จังหวะรักใต้ผืนน้ำ (dolphin in the sea) //: JayGin,ว. ว.
r14515,Zh2lys,พี่เพลิงจะสดใสกี่โมง [jay-gin],[chocolatezero]
r14549,Zh2y0w,ใต้แสงตะวันของปลายวินาที //: GinJay,zyrelle
r14566,Zh340w,"หรั่งได๋|GinJay, JayGin",ฮ้อบมั้ยคุณพรี่
r14579,Zh39xq,SEEN | GinJay,Kissme0
r14591,Zh3eol,ช่อฟ้าวิจิตร : กลิ่นคาวเลือดกลางแสงบุหลัน //: JayGin,zyrelle
r14606,Zh3knr,Beyond the Sky: สกายที่รัก //: GinJay,zyrelle
r14653,Zh43n1,เธอไม่เคยเป็นแฟนเก่า GinJay,mmmmha
r14661,Zh47w1,ปรวีร์ที่รัก //: GinJay,zyrelle
r14709,Zh4n6i,ประกาศ...รัก (ฉบับลับ) คุณปลัดเจ Love Off the Record,Moon
r14739,Zh54t9,ดาวภัสสวีจันทร์ภัทรวี #Jgin,เป็นหมา
r14747,Zh56yx,龙情蜜意 - GinJay,zyrelle
r14768,Zh5eyi,ไอริน+พันมาย (จังหวะหัวใจ) จินเจ,GJPFK
r14806,Zh5u67,อาหารตามสั่ง-Ginj,paphawrin_.2555
r14817,Zh5xjx,พรางรักหิรัญญิการ์ //: GinJay,zyrelle
r14822,Zh5ybo,พรางรักนัยน์ตาเงา //: GinJay,zyrelle
r14831,Zh6394,ดาราขี้วีนกับคุณหมอปากแซ่บ | GinJay,WhateVerse
r14833,Zh63bk,#เกนหลงพลอย | Jgin,หมาขาว
r14857,Zh6e8o,พันธนาการรัก  ( กัณต์ฐิษา × พิมพิกา ) //: JayGin,zyrelle
r14864,Zh6hof,จากคนดูแลสู่คน~~|JGin,ก๋วยเตี๋ยวเนื้อ
r14868,Zh6ilj,#พักฟังพี่ | Jgin,หมาขาว
r14892,Zh6vcf,ภัควลัญชญ์วศิตา //: JayGin,zyrelle
r14931,Zh77ga,ลิขิตรักอักขรานุกูล // : JayGin,zyrelle
r14936,Zh7bt6,ก่อนวันวิวาห์ `— jaygin,threenhoru
r14945,Zh7doi,รักซ่อนกล | JAYGIN,มิน'ตา
r15057,Zh8rhh,คุณวิศวะกับคุณหนูไฮโซ|ginjay,tnsjjj
r15081,Zh8yhn,เศษใจที่ฝากไว้ในคำลวง,ซากุระน้อย
r15125,Zh9ekd,พันธะรักพยับฟ้า ศศิธรชลธี : JayGin,zyrelle
r15128,Zh9eod,พยุหศรซ่อนรักกลางสายลม : JayGin,zyrelle
r15166,Zh9vav,กีตาร์ตัวโปรด / JGin,hsart ʚìɞ
r15190,Zha5xe,มาลีที่เลือนหายในพนาเวศ / JayGin,zyrelle
r15194,Zha6v0,การพบกันครั้งแรก,wlw
r15208,Zhacmi,aesthete of you : ฐาปนาหัวใจยัยหมาเด็ก / GinJay,zyrelle
r15225,Zhajq0,ภัชริตาเหนือเมฆา / JayGin,zyrelle
r15236,Zhao7e,"ใครเคะใครเมะ|Jgin,Ginj",Luckyfirst
r15255,Zhav0p,รินนภา|JGin,ไอหรั่ง
r15297,Zhb6t8,คนใจร้าย | ginjay,walai☀️
r15397,Zhc93y,สิตาเคียงศิภัทร #Jgin,เป็นลิงจ๋อง
r15423,Zhcl76,ดาวภัสวีใกล้จันทร์ภัทรวี #Jgin,เป็นลิงจ๋อง
r15426,Zhcm8q,ข้ามฟ้ามาพบรัก / JayGin,zyrelle
r15455,Zhcw69,กับดักรักยัยตัวแสบ / GinJay,zyrelle
r15471,Zhd0ov,ระวัง! วัตถุ(รัก)วีนไว — Jaygin Ginjay,หยุดยิ้มไม่ได้ ◡̈
r15501,Zhd9id,รอยร้าวใต้ชุดกาวน์,ซากุระน้อย
r15528,Zhdnkf,ลิขิตรักฉบับซีอีโอ / GinJay,zyrelle
r15545,Zhdsjx,หนี้รักปลายฝัน / JayGin,zyrelle
r15589,Zhe69f,"ปรุงรักฉบับ ""ลัลล์"" JayGin",zyrelle
r15592,Zhe75k,Love Again : Beneath the Same Moon,เป็นฉัน
r15604,Zhedse,She is mine |Jgin/miugin,แมวเป้าอ๋อง
r15621,Zhelc6,หลินจะลืมยัง | Ginjay,duu
r15668,Zhey2n,"Still, You - ยังเป็นเธอ |JAYGIN",Diamond sea
r15674,Zhf2er,จังหวะหัวใจยัยตัวดื้อ / GinJay,zyrelle
r15681,Zhf3yu,พบเพียงฝัน|JGin,ไอหรั่ง
r15708,Zhfcov,ติณณ์จะรอ / JayGin,zyrelle
r15719,Zhfhfb,เงาที่ไม่มีใครรู้จัก | JayGin,หมอกในเดือนหนาว❄️🌙
r15780,Zhg47v,อคิราห์หลงจันทร์ / JayGin,zyrelle
r15816,Zhghy7,ฤดูที่เธอไม่เคยกลับมา | JayGin,หมอกในเดือนหนาว❄️🌙
r15871,Zhh1nh,อรินจะไม่ยอมคุณ|จินเจ,ซาธีร์รา
r15873,Zhh1yj,สืบจับรัก ||Ginjay,Kira.Vida
r15977,Zhi3bc,Milan on top | Jgin,หมาขาว
r16025,Zhiick,ความรักในอดีต|Ginjay,ข้าวซอยแซ่บๆ
r16036,Zhin4h,ภีมภีมของเบบี้ / GinJay,zyrelle
r16040,Zhioyu,ยัยหมวยปากร้ายกับไอ้ฝรั่งปากหมา ｜JayGin,WhateVerse
r16091,Zhj3f5,ประธานสายเป๊ะกับเลขาสาย(เกือบ)ร่วง | GinJay,บุษบาในสายหมอก
r16114,Zhj8n0,ใครเพื่ิอนแก #JGin,Is'real
r16160,Zhjkoy,ยังรักกันมั้ย,สุยหยวนชิง
r16352,Zhld56,ถึงคุณซลิตาที่รัก #jaygin,zyrelle
r16425,Zhlykk,อริเหนือน่านน้ำ #jaygin,zyrelle
r16429,Zhlyqj,ภาคพิเศษ ภาคต่อจากเรื่องแรก / น่านฟ้าเคียงวารี #jaygin,zyrelle
r16446,Zhm46m,ปริ้นซ์จะป่วน (พี่) แอล #jaygin,zyrelle
r16476,Zhmej9,ทอฝันต้นน้ำ | Jgin,มายลิทเติ้ลบัฟฟาโล่วว
r16545,Zhn5ke,เพียง(กัญญ์)วรา #jaygin,zyrelle
r16577,Zhniwy,กลีบดอกไม้ลายพู่กัน|JGin,เพียงแต่รัก
r16614,Zhnyd5,ชลวารินทร์ —Jaygin Ginjay,หยุดยิ้มไม่ได้ ◡̈
r16620,Zho0we,องศารัก ( จิรัญญาธร ) #ginjay,zyrelle
r16685,Zhojtp,ต้นรักพอใจ | Jgin,มายลิทเติ้ลบัฟฟาโล่วว
r16732,Zhp0iq,ฟ้าคู่ตะวัน | JGin,ไอหรั่ง
r16814,Zhpt1m,พี่สาวคนหมวยกับน้องฝรั่งคนกึง| JayGin,ITY
r16852,Zhq9cy,Only Yours | GinJay,ม๋าด่าง
r16873,Zhqgqu,พฤกษาล้อมศศิ #ginjay,zyrelle
r17017,Zhrtc2,ก็แค่…คนรู้จัก | GinJay,WhateVerse
r17031,Zhrwt0,กว่า ณภัค จะรักริน #jaygin,zyrelle
r17109,Zhsplk,"what if Peugeot get hacked? |Ginjay, Jaygin|",favex
r17132,Zhsxn4,ยอดชีวาเสือกานต์ #jaygin,zyrelle
r17228,Zhty89,กันต์ทิวา | Ginjay,คุณเอิร์ธสุ
r17292,Zhukyg,คุณนายศศินี|JGin,ไอหรั่ง
r17356,Zhv1py,ปริ้นท์ทำไมซุ่มซ่ามจังอ่ะ | Jgin,มายลิทเติ้ลบัฟฟาโล่วว
r17383,Zhvc7d,คู่จิ้น/เพื่อนร่วมงาน|เจจิน,บัดซบ
r17522,Zhws4p,Sunflower's Love | JayGin GinJay,นายภานุวัฒน์
r17543,Zhx15q,รจนา #เอินเอินมาเบล,นะโมชอบกินโกโก้ 🍫
r17608,Zhxkl2,“พี่นิ่งเหมือนหิน หรือที่จริงพี่อินกับหนู”|jaygin ginjay,คนสวย
r17651,Zhy0ux,รันวี | GinJay,sky.moon
r17663,Zhy5o3,ฉินอย่าดุ #ginjay,zyrelle
r17737,Zhyt2g,roommate | JayGin GinJay,นายภานุวัฒน์
r17783,Zi0bh0,บักเมะสเตรท #JGin,Is'real
r17810,Zi0lhk,อันต้า // *jaygin,ต้มปลาใส่หม้อ
r17876,Zi14tw,คนเดียว | JGin,ไอหรั่ง
r17893,Zi1bci,ไอยเรศในเขตพันวา#jaygin,zyrelle
r17940,Zi1tvu,มินเพลิน | GinJay,sky.moon
r17986,Zi29gf,เอวาลิลณ์เธอผู้ปรารถนา GinJay/JayGin,แมวเทาตัวอ้วน
r17996,Zi2c1a,ผู้ติดตามลำดับสุดท้ายที่รักเธอ#ginjay,zyrelle
r18042,Zi2t98,เล่ห์รักมาเฟีย,กระเพราหมูกรอบ
r18111,Zi3f6k,ตกหลุมรักรุ่นพี่พิมภัทร #ginjay,zyrelle
r18207,Zi4bj3,universe of my friend จักรวาลเดียวของเฟรนด์ #ginjay,zyrelle
r18271,Zi51vu,เมื่อบทเพลงโอบกอดวิวาห์ #jaygin,zyrelle
r18301,Zi5ch5,ฤดูของเหนือ | GinJay,KGJ.-.
r18432,Zi6l04,คืนนี้ | JGin,ไอหรั่ง
r18456,Zi6u4h,รักแท้(ginjay),Nirvana
r18744,Zi9ira,แว่น| Baekje,Kiss kiss —
r18786,Zi9sh5,เอมิกา #Jgin,เป็นหมา
